rn,D08,R08,D16,R16
0,326,916,151,1100
1,687,1603,234,1013
2,940,1158,193,573
3,0,0,231,619
4,386,550,192,491
5,571,668,310,1156
6,593,737,294,714
7,198,208,191,423
8,159,147,105,93
9,0,0,327,438
10,892,953,167,308
11,295,504,136,585
12,1031,2036,645,1888
13,0,0,0,0
14,225,599,111,673
15,295,559,134,732
16,256,307,597,826
17,562,756,471,1276
18,474,587,0,0
19,445,1123,94,769
20,786,1836,367,1359
21,314,1014,150,1123
22,389,932,282,1560
23,1092,1605,216,369
24,649,868,1197,2158
25,1984,2964,337,669
26,1932,2674,1031,1801
27,942,1191,1377,2707
28,1629,2203,678,1095
29,552,547,778,846
30,1359,1332,1021,884
31,1961,2060,1869,1637
32,1665,1452,989,911
33,694,785,460,509
34,1643,2553,402,611
35,2049,2454,925,1243
36,3039,1083,944,338
37,1788,1592,659,595
38,1294,1028,1674,1278
39,1147,1123,926,932
40,387,562,264,348
41,0,0,0,0
42,1505,990,749,407
43,1454,898,489,334
44,1280,381,819,292
45,1128,466,822,324
46,1533,708,1301,646
47,560,527,1444,656
48,1439,752,0,0
49,1322,1270,693,1088
50,788,950,460,796
51,746,1013,405,866
52,1326,1618,0,0
53,660,980,1396,2286
54,806,438,539,307
55,1524,1102,405,335
56,395,525,680,923
57,403,598,443,809
58,1011,964,605,817
59,1037,1225,384,373
60,1881,1417,2170,1848
61,1004,455,0,0
62,1262,437,848,252
63,1622,2663,465,722
64,851,1495,252,509
65,1147,1468,1689,2096
66,1653,2121,1731,2060
67,474,493,0,0
68,544,675,0,0
69,1643,1796,660,834
70,755,775,0,0
71,996,1590,2313,2633
72,701,818,0,0
73,1643,1988,334,527
74,1249,1324,1406,1502
75,1374,1779,936,1288
76,628,764,328,453
77,1320,1899,467,577
78,1210,3011,223,915
79,1439,2374,718,1490
80,986,1413,471,1367
81,487,1217,968,3423
82,1103,2758,452,1714
83,1533,2642,0,0
84,1219,2205,352,1058
85,587,758,900,2145
86,1152,1888,961,2488
