rn,D04,R04,D08,R08,D12,R12,D16,R16
437,2132.0,2585.0,2617.0,2548.0,2399.0,2573.0,2148.0,2800.0
438,970.0,1723.0,1148.0,1576.0,1206.0,1959.0,1014.0,2020.0
439,1313.0,2254.0,1497.0,1968.0,1390.0,2225.0,1110.0,2277.0
440,600.0,830.0,703.0,747.0,685.0,830.0,491.0,955.0
441,851.0,1326.0,1151.0,1225.0,1523.0,2026.0,1049.0,2068.0
442,809.0,1164.0,1002.0,969.0,596.0,711.0,430.0,733.0
443,674.0,1065.0,930.0,1087.0,911.0,1223.0,733.0,1407.0
444,711.0,1066.0,966.0,1028.0,846.0,1063.0,648.0,1182.0
445,814.0,1241.0,1098.0,1160.0,1095.0,1377.0,830.0,1519.0
446,883.0,757.0,965.0,581.0,889.0,631.0,694.0,696.0
447,763.0,763.0,818.0,602.0,760.0,712.0,526.0,803.0
448,1875.0,2763.0,2344.0,2181.0,1880.0,2694.0,1305.0,3059.0
449,1654.0,1687.0,1775.0,1347.0,1624.0,1710.0,1102.0,2060.0
450,0.0,0.0,0.0,0.0,310.0,132.0,218.0,151.0
451,1774.0,971.0,1959.0,728.0,878.0,293.0,613.0,318.0
452,1414.0,761.0,1535.0,560.0,1965.0,868.0,1595.0,910.0
453,955.0,438.0,1041.0,356.0,1551.0,721.0,1382.0,707.0
454,1302.0,938.0,1658.0,729.0,1482.0,933.0,1760.0,1122.0
455,1204.0,806.0,1319.0,637.0,1401.0,665.0,1350.0,579.0
456,2487.0,1761.0,2621.0,1395.0,1533.0,923.0,1471.0,876.0
457,1387.0,768.0,1503.0,686.0,883.0,477.0,861.0,387.0
458,883.0,493.0,987.0,419.0,928.0,296.0,714.0,344.0
459,939.0,461.0,1010.0,352.0,1511.0,612.0,1228.0,661.0
460,1097.0,739.0,1184.0,578.0,1250.0,632.0,1086.0,597.0
461,938.0,704.0,985.0,518.0,915.0,454.0,795.0,472.0
462,0.0,0.0,0.0,0.0,1394.0,891.0,1190.0,794.0
463,1018.0,1176.0,1357.0,1059.0,1403.0,1280.0,1080.0,1439.0
464,874.0,1027.0,1144.0,877.0,1097.0,997.0,1147.0,1286.0
465,2397.0,2697.0,3391.0,2585.0,2651.0,2202.0,1955.0,2220.0
466,2075.0,2311.0,2672.0,2074.0,2757.0,2459.0,2655.0,2826.0
467,253.0,308.0,305.0,285.0,255.0,262.0,237.0,295.0
468,1778.0,1405.0,2011.0,1071.0,2139.0,1380.0,1682.0,1440.0
469,1065.0,1287.0,1421.0,1225.0,1577.0,1476.0,1410.0,1463.0
470,1940.0,2236.0,2470.0,1926.0,2220.0,2067.0,2133.0,1889.0
471,2392.0,2146.0,2543.0,1789.0,2280.0,1847.0,2009.0,1770.0
472,389.0,422.0,446.0,371.0,727.0,707.0,632.0,675.0
473,3075.0,2635.0,3456.0,2146.0,2358.0,1872.0,2181.0,1738.0
474,1204.0,1517.0,1505.0,1334.0,935.0,993.0,762.0,1064.0
475,905.0,628.0,934.0,500.0,932.0,542.0,702.0,612.0
476,913.0,829.0,966.0,623.0,1015.0,771.0,769.0,903.0
477,810.0,910.0,963.0,697.0,902.0,770.0,650.0,935.0
478,897.0,531.0,884.0,397.0,888.0,441.0,595.0,584.0
479,877.0,1031.0,985.0,767.0,799.0,790.0,572.0,943.0
480,833.0,1029.0,885.0,876.0,760.0,955.0,523.0,1116.0
481,717.0,1010.0,777.0,854.0,767.0,1179.0,524.0,1261.0
482,1022.0,1628.0,1145.0,1305.0,1046.0,1519.0,708.0,1712.0
483,497.0,531.0,495.0,476.0,470.0,558.0,323.0,655.0
484,817.0,922.0,895.0,702.0,738.0,821.0,599.0,825.0
485,865.0,1115.0,985.0,868.0,792.0,784.0,573.0,909.0
486,669.0,766.0,768.0,642.0,772.0,810.0,585.0,908.0
487,642.0,620.0,634.0,420.0,641.0,543.0,441.0,568.0
488,664.0,720.0,719.0,604.0,589.0,545.0,387.0,655.0
489,396.0,442.0,467.0,374.0,470.0,523.0,339.0,663.0
490,781.0,774.0,920.0,678.0,660.0,616.0,471.0,736.0
491,1010.0,1227.0,1176.0,1058.0,1029.0,1337.0,724.0,1497.0
492,1208.0,1417.0,1421.0,1156.0,1033.0,1193.0,743.0,1352.0
493,341.0,297.0,408.0,236.0,631.0,516.0,674.0,769.0
494,556.0,548.0,625.0,400.0,743.0,586.0,469.0,619.0
495,1217.0,1213.0,1286.0,951.0,995.0,786.0,538.0,634.0
496,1527.0,1567.0,1642.0,1351.0,1419.0,1249.0,1074.0,1401.0
497,941.0,1136.0,1038.0,937.0,957.0,825.0,822.0,1093.0
498,1202.0,1672.0,1398.0,1491.0,1203.0,1038.0,1027.0,1565.0
499,780.0,575.0,833.0,455.0,836.0,722.0,676.0,583.0
500,636.0,480.0,671.0,308.0,811.0,701.0,449.0,424.0
501,1814.0,1670.0,1917.0,1384.0,1853.0,1641.0,1230.0,1591.0
502,1010.0,896.0,1155.0,780.0,1032.0,952.0,688.0,881.0
503,872.0,697.0,877.0,555.0,824.0,711.0,586.0,711.0
504,852.0,762.0,923.0,583.0,662.0,491.0,475.0,583.0
505,992.0,942.0,1045.0,754.0,1171.0,949.0,905.0,1226.0
506,777.0,652.0,843.0,501.0,835.0,621.0,489.0,626.0
507,872.0,564.0,954.0,394.0,840.0,623.0,482.0,593.0
508,1327.0,1526.0,1378.0,1302.0,1009.0,1193.0,683.0,1358.0
509,1439.0,1788.0,1601.0,1533.0,1476.0,1774.0,985.0,2001.0
510,1044.0,1497.0,1140.0,1191.0,919.0,1490.0,612.0,1640.0
511,1364.0,2146.0,1509.0,1790.0,1400.0,2025.0,949.0,2209.0
512,918.0,1605.0,1035.0,1422.0,972.0,1745.0,749.0,1726.0
513,1358.0,1749.0,1421.0,1508.0,1115.0,1472.0,844.0,1584.0
514,927.0,1103.0,1048.0,995.0,1069.0,1382.0,813.0,1449.0
515,652.0,435.0,702.0,324.0,338.0,180.0,248.0,144.0
516,407.0,418.0,479.0,329.0,1056.0,610.0,834.0,623.0
517,1623.0,1836.0,1838.0,1458.0,1457.0,1564.0,1298.0,1364.0
518,1729.0,1477.0,1971.0,1271.0,1451.0,1146.0,1186.0,1085.0
519,769.0,659.0,824.0,489.0,520.0,306.0,381.0,307.0
520,486.0,391.0,521.0,266.0,1058.0,687.0,797.0,658.0
521,685.0,510.0,722.0,364.0,472.0,293.0,310.0,310.0
522,1143.0,835.0,1253.0,632.0,1341.0,1015.0,1084.0,951.0
523,1232.0,1196.0,1383.0,884.0,1470.0,1071.0,1255.0,968.0
524,589.0,590.0,635.0,453.0,604.0,519.0,655.0,833.0
525,867.0,978.0,1031.0,781.0,806.0,758.0,665.0,736.0
526,1628.0,2233.0,2293.0,2236.0,2225.0,2676.0,1888.0,2982.0
527,1307.0,1790.0,1465.0,1190.0,1430.0,1550.0,1177.0,1540.0
528,1016.0,1229.0,1274.0,1104.0,1347.0,1390.0,1129.0,1431.0
