State,CD,Session,black_vap_frac,hispanic_vap_frac,total_minority_vap_frac,max_minority_vap_frac
1,1,113,0.2579893507605354,0.024794637029059756,0.2827839877895952,0.2579893507605354
1,2,113,0.2808821518867906,0.029613668617290655,0.31049582050408125,0.2808821518867906
1,3,113,0.24351170899567573,0.02259767647237956,0.2661093854680553,0.24351170899567573
1,4,113,0.06624104753640844,0.04278027747609005,0.10902132501249849,0.06624104753640844
1,5,113,0.1648817321757995,0.03800497286313932,0.2028867050389388,0.1648817321757995
1,6,113,0.12606027984998772,0.039822571932521575,0.16588285178250928,0.12606027984998772
1,7,113,0.6078993531097118,0.023810296416621014,0.6317096495263328,0.6078993531097118
2,1,113,0.03361975775624246,0.048584115169690745,0.0822038729259332,0.048584115169690745
4,1,113,0.02328330188408157,0.17741592513481672,0.20069922701889828,0.17741592513481672
4,2,113,0.03638285830227567,0.21860683660284272,0.25498969490511836,0.21860683660284272
4,3,113,0.04633853590096063,0.5580372168087945,0.6043757527097551,0.5580372168087945
4,4,113,0.016010785455474897,0.15144817059451404,0.16745895604998895,0.15144817059451404
4,5,113,0.02917770363565875,0.14121336315145172,0.17039106678711047,0.14121336315145172
4,6,113,0.023863636363636365,0.12176216640502355,0.1456258027686599,0.12176216640502355
4,7,113,0.09208327319808655,0.5804484102332411,0.6725316834313276,0.5804484102332411
4,8,113,0.03852319341280515,0.1552169513274088,0.19374014474021395,0.1552169513274088
4,9,113,0.04934779446231432,0.22454440798630754,0.27389220244862184,0.22454440798630754
5,1,113,0.1664459161147903,0.02282415951941519,0.18927007563420548,0.1664459161147903
5,2,113,0.19757789954930124,0.039399212448075975,0.23697711199737723,0.19757789954930124
5,3,113,0.025374284962548503,0.0998228160654127,0.1251971010279612,0.0998228160654127
5,4,113,0.1854227289823228,0.039632023063343215,0.225054752045666,0.1854227289823228
6,1,113,0.014357791552544328,0.10095141992215655,0.11530921147470087,0.10095141992215655
6,2,113,0.018550169202756952,0.13803487071612658,0.15658503991888353,0.13803487071612658
6,3,113,0.06510612303746367,0.2344381967051396,0.29954431974260326,0.2344381967051396
6,4,113,0.012795697145829772,0.10292438939653793,0.1157200865423677,0.10292438939653793
6,5,113,0.05987516628940853,0.21892012069820507,0.2787952869876136,0.21892012069820507
6,6,113,0.12483924552566714,0.22644372827900852,0.35128297380467566,0.22644372827900852
6,7,113,0.07165491255051362,0.14312777694549744,0.21478268949601106,0.14312777694549744
6,8,113,0.07626761769476431,0.3002125708989432,0.3764801885937075,0.3002125708989432
6,9,113,0.08290781780234836,0.33180054805869325,0.4147083658610416,0.33180054805869325
6,10,113,0.031791530944625404,0.34899724379854674,0.38078877474317213,0.34899724379854674
6,11,113,0.09241488103062968,0.2157075488291918,0.30812242985982147,0.2157075488291918
6,12,113,0.05731200073304906,0.1332545741934006,0.19056657492644966,0.1332545741934006
6,13,113,0.1904987076336719,0.1818005667213004,0.37229927435497234,0.1904987076336719
6,14,113,0.03663253453037438,0.21757939256610304,0.25421192709647744,0.21757939256610304
6,15,113,0.06268228480680416,0.2055499860710245,0.26823227087782864,0.2055499860710245
6,16,113,0.06136878064262865,0.5277882181963968,0.5891569988390254,0.5277882181963968
6,17,113,0.02644442678484634,0.15646362851762252,0.18290805530246887,0.15646362851762252
6,18,113,0.021533655417922917,0.15062297940353808,0.17215663482146099,0.15062297940353808
6,19,113,0.02947665307481387,0.3705543447687312,0.4000309978435451,0.3705543447687312
6,20,113,0.02541418966872458,0.4427155274383962,0.4681297171071208,0.4427155274383962
6,21,113,0.05331824239988153,0.6579047578751401,0.7112230002750217,0.6579047578751401
6,22,113,0.03059892318980529,0.39377145473338654,0.4243703779231918,0.39377145473338654
6,23,113,0.059222970566587256,0.31317024526524895,0.3723932158318362,0.31317024526524895
6,24,113,0.021760765239128198,0.2888864405218393,0.3106472057609675,0.2888864405218393
6,25,113,0.07277810236152958,0.31262400373282395,0.38540210609435355,0.31262400373282395
6,26,113,0.01973784117842678,0.38515702040871247,0.4048948615871393,0.38515702040871247
6,27,113,0.048458181094414195,0.24539018183369113,0.29384836292810534,0.24539018183369113
6,28,113,0.027507361974657474,0.23972424668265088,0.26723160865730833,0.23972424668265088
6,29,113,0.044066451344193756,0.6320716536608749,0.6761381050050687,0.6320716536608749
6,30,113,0.04485571057944841,0.24169166049589888,0.2865473710753473,0.24169166049589888
6,31,113,0.10760071798962904,0.44690267251695254,0.5545033905065816,0.44690267251695254
6,32,113,0.03006256413398067,0.5745887767448271,0.6046513408788078,0.5745887767448271
6,33,113,0.03154143578119804,0.10744421754851424,0.1389856533297123,0.10744421754851424
6,34,113,0.04747848116268389,0.6094405102297812,0.6569189913924651,0.6094405102297812
6,35,113,0.07858154434980763,0.6445415775685337,0.7231231219183414,0.6445415775685337
6,36,113,0.03768660151275718,0.3889788121941116,0.4266654137068688,0.3889788121941116
6,37,113,0.25624541906319614,0.3388936428331582,0.5951390618963543,0.3388936428331582
6,38,113,0.03720277432814589,0.5720463808025925,0.6092491551307384,0.5720463808025925
6,39,113,0.02455946505745385,0.28804897111509803,0.31260843617255185,0.28804897111509803
6,40,113,0.05366682753845185,0.8489099187947206,0.9025767463331724,0.8489099187947206
6,41,113,0.10006607355380752,0.5122963489815175,0.612362422535325,0.5122963489815175
6,42,113,0.05480183655900265,0.321258329879157,0.37606016643815965,0.321258329879157
6,43,113,0.2502940015937981,0.4097743924611802,0.6600683940549783,0.4097743924611802
6,44,113,0.17627676085831834,0.6442581688880129,0.8205349297463312,0.6442581688880129
