,State,CD,Session,black_vap_frac,hispanic_vap_frac,total_minority_vap_frac,max_minority_vap_frac,Ethnicity,Name,Delegate,BRep,HRep,MRep,const
0,1,1,113,0.2579893507605354,0.02479463702905976,0.2827839877895952,0.2579893507605354,,,,0,0,0,1
436,1,1,114,0.26042878921059576,0.026128689920434982,0.28655747913103075,0.26042878921059576,,,,0,0,0,1
872,1,1,115,0.2622330334341288,0.025634759704441037,0.2878677931385698,0.2622330334341288,,,,0,0,0,1
1,1,2,113,0.2808821518867906,0.02961366861729065,0.31049582050408125,0.2808821518867906,,,,0,0,0,1
437,1,2,114,0.2882551767763373,0.02914008734023824,0.3173952641165756,0.2882551767763373,,,,0,0,0,1
873,1,2,115,0.2956078349299365,0.02771525604315109,0.32332309097308765,0.2956078349299365,,,,0,0,0,1
2,1,3,113,0.2435117089956757,0.02259767647237956,0.2661093854680553,0.2435117089956757,,,,0,0,0,1
438,1,3,114,0.2456345867943569,0.024139648453894786,0.2697742352482517,0.2456345867943569,,,,0,0,0,1
874,1,3,115,0.24840255444355264,0.02389877732738497,0.2723013317709376,0.24840255444355264,,,,0,0,0,1
3,1,4,113,0.06624104753640844,0.04278027747609005,0.10902132501249848,0.06624104753640844,,,,0,0,0,1
439,1,4,114,0.0674489593958863,0.04488794665286299,0.1123369060487493,0.0674489593958863,,,,0,0,0,1
875,1,4,115,0.06843371757651838,0.0456009875662976,0.11403470514281595,0.06843371757651838,,,,0,0,0,1
4,1,5,113,0.1648817321757995,0.03800497286313932,0.2028867050389388,0.1648817321757995,,,,0,0,0,1
440,1,5,114,0.16644290303058518,0.0391657744052884,0.2056086774358736,0.16644290303058518,,,,0,0,0,1
876,1,5,115,0.1689867596532386,0.03876472190883342,0.207751481562072,0.1689867596532386,,,,0,0,0,1
5,1,6,113,0.12606027984998772,0.039822571932521575,0.16588285178250928,0.12606027984998772,,,,0,0,0,1
441,1,6,114,0.1339505208234079,0.040215647189306834,0.17416616801271473,0.1339505208234079,,,,0,0,0,1
877,1,6,115,0.14076934098501587,0.03807868362906936,0.17884802461408522,0.14076934098501587,,,,0,0,0,1
6,1,7,113,0.6078993531097118,0.023810296416621014,0.6317096495263328,0.6078993531097118,B,"SEWELL, Terri",0.0,1,0,1,1
442,1,7,114,0.6078616298277804,0.023959089497440238,0.6318207193252205,0.6078616298277804,B,"SEWELL, Terri",0.0,1,0,1,1
878,1,7,115,0.6098150327320088,0.02308187381705873,0.6328969065490675,0.6098150327320088,B,"SEWELL, Terri",0.0,1,0,1,1
7,2,1,113,0.033619757756242465,0.048584115169690745,0.0822038729259332,0.048584115169690745,,,,0,0,0,1
443,2,1,114,0.034690213065289424,0.05381055515447696,0.08850076821976638,0.05381055515447696,,,,0,0,0,1
879,2,1,115,0.03357736795821127,0.057869160784285174,0.09144652874249644,0.057869160784285174,,,,0,0,0,1
8,4,1,113,0.023283301884081568,0.17741592513481672,0.20069922701889828,0.17741592513481672,,,,0,0,0,1
444,4,1,114,0.023371015800019226,0.18365951217348228,0.2070305279735015,0.18365951217348228,,,,0,0,0,1
880,4,1,115,0.022944264564839587,0.19156216422807607,0.2145064287929157,0.19156216422807607,,,,0,0,0,1
9,4,2,113,0.03638285830227567,0.21860683660284272,0.2549896949051184,0.21860683660284272,,,,0,0,0,1
445,4,2,114,0.03767268039421499,0.23079822194670066,0.26847090234091564,0.23079822194670066,,,,0,0,0,1
881,4,2,115,0.03925546482730639,0.2378867877011436,0.27714225252845,0.2378867877011436,,,,0,0,0,1
10,4,3,113,0.04633853590096063,0.5580372168087945,0.6043757527097551,0.5580372168087945,H,"GRIJALVA, Raul M.",0.0,0,1,1,1
446,4,3,114,0.043780959752321984,0.5677341331269351,0.6115150928792571,0.5677341331269351,H,"GRIJALVA, Raul M.",0.0,0,1,1,1
882,4,3,115,0.045691940267170564,0.5730801099276023,0.6187720501947729,0.5730801099276023,H,"GRIJALVA, Raul M.",0.0,0,1,1,1
11,4,4,113,0.016010785455474897,0.15144817059451404,0.16745895604998895,0.15144817059451404,,,,0,0,0,1
447,4,4,114,0.017044679548832736,0.15439188598408676,0.17143656553291947,0.15439188598408676,,,,0,0,0,1
883,4,4,115,0.017599829400634332,0.1556668438101879,0.17326667321082226,0.1556668438101879,,,,0,0,0,1
12,4,5,113,0.02917770363565875,0.14121336315145172,0.17039106678711047,0.14121336315145172,,,,0,0,0,1
448,4,5,114,0.02938729888799332,0.14795093079146324,0.17733822967945656,0.14795093079146324,,,,0,0,0,1
884,4,5,115,0.029267087282159036,0.15261978030573733,0.1818868675878964,0.15261978030573733,,,,0,0,0,1
13,4,6,113,0.02386363636363636,0.12176216640502355,0.1456258027686599,0.12176216640502355,,,,0,0,0,1
449,4,6,114,0.024625927563836938,0.1258701079821852,0.15049603554602214,0.1258701079821852,,,,0,0,0,1
885,4,6,115,0.0258134668321999,0.1362834438284419,0.1620969106606418,0.1362834438284419,,,,0,0,0,1
14,4,7,113,0.09208327319808657,0.5804484102332411,0.6725316834313276,0.5804484102332411,H,"PASTOR, Ed",0.0,0,1,1,1
450,4,7,114,0.09809953882781906,0.5850569818509657,0.6831565206787847,0.5850569818509657,H,"GALLEGO, Ruben",0.0,0,1,1,1
886,4,7,115,0.09929993329088208,0.5867275387367719,0.6860274720276539,0.5867275387367719,H,"GALLEGO, Ruben",0.0,0,1,1,1
15,4,8,113,0.03852319341280515,0.1552169513274088,0.19374014474021395,0.1552169513274088,H,"FRANKS, Trent",0.0,0,1,1,1
451,4,8,114,0.0397841124993061,0.15746393070684533,0.19724804320615144,0.15746393070684533,H,"FRANKS, Trent",0.0,0,1,1,1
887,4,8,115,0.04225872888618583,0.16152067840654633,0.2037794072927321,0.16152067840654633,H,"FRANKS, Trent",0.0,0,1,1,1
16,4,9,113,0.04934779446231432,0.22454440798630754,0.27389220244862184,0.22454440798630754,,,,0,0,0,1
452,4,9,114,0.051260079846992185,0.22991112667308305,0.2811712065200753,0.22991112667308305,,,,0,0,0,1
888,4,9,115,0.051703822247431516,0.2335484001661113,0.2852522224135428,0.2335484001661113,,,,0,0,0,1
17,5,1,113,0.1664459161147903,0.02282415951941519,0.18927007563420548,0.1664459161147903,,,,0,0,0,1
453,5,1,114,0.1663583852544133,0.0246426820122303,0.1910010672666436,0.1663583852544133,,,,0,0,0,1
889,5,1,115,0.1674435455961239,0.02623183076656861,0.1936753763626925,0.1674435455961239,,,,0,0,0,1
18,5,2,113,0.19757789954930124,0.039399212448075975,0.23697711199737725,0.19757789954930124,,,,0,0,0,1
454,5,2,114,0.2027760896944716,0.04028324569979126,0.2430593353942629,0.2027760896944716,,,,0,0,0,1
890,5,2,115,0.20692609757451294,0.03992930288061276,0.2468554004551257,0.20692609757451294,,,,0,0,0,1
19,5,3,113,0.025374284962548503,0.0998228160654127,0.1251971010279612,0.0998228160654127,,,,0,0,0,1
455,5,3,114,0.026162225074393468,0.10570031613878687,0.13186254121318036,0.10570031613878687,,,,0,0,0,1
891,5,3,115,0.02778046521913397,0.11078324326565588,0.13856370848478985,0.11078324326565588,,,,0,0,0,1
20,5,4,113,0.1854227289823228,0.03963202306334322,0.22505475204566602,0.1854227289823228,,,,0,0,0,1
456,5,4,114,0.18514693929776946,0.04210031195428275,0.2272472512520522,0.18514693929776946,,,,0,0,0,1
892,5,4,115,0.1866714088182244,0.043174749494634235,0.22984615831285865,0.1866714088182244,,,,0,0,0,1
21,6,1,113,0.014357791552544328,0.10095141992215656,0.11530921147470087,0.10095141992215656,,,,0,0,0,1
457,6,1,114,0.014879805290280216,0.10757747705308836,0.12245728234336857,0.10757747705308836,,,,0,0,0,1
893,6,1,115,0.015267813337694381,0.11129914177433002,0.1265669551120244,0.11129914177433002,,,,0,0,0,1
22,6,2,113,0.018550169202756952,0.13803487071612658,0.15658503991888353,0.13803487071612658,,,,0,0,0,1
458,6,2,114,0.018242769158805645,0.14333047477976146,0.1615732439385671,0.14333047477976146,,,,0,0,0,1
894,6,2,115,0.016056946248639542,0.1473580732366675,0.16341501948530704,0.1473580732366675,,,,0,0,0,1
23,6,3,113,0.06510612303746367,0.2344381967051396,0.2995443197426033,0.2344381967051396,H,"GARAMENDI, John",0.0,0,1,1,1
459,6,3,114,0.06493989872390632,0.2424671020186361,0.3074070007425425,0.2424671020186361,H,"GARAMENDI, John",0.0,0,1,1,1
895,6,3,115,0.06273380088955942,0.2508058329734644,0.31353963386302386,0.2508058329734644,H,"GARAMENDI, John",0.0,0,1,1,1
24,6,4,113,0.012795697145829772,0.10292438939653792,0.1157200865423677,0.10292438939653792,,,,0,0,0,1
460,6,4,114,0.01236666540347306,0.1066748954707291,0.11904156087420215,0.1066748954707291,,,,0,0,0,1
896,6,4,115,0.01376987415904275,0.11058134952542356,0.1243512236844663,0.11058134952542356,,,,0,0,0,1
