usps,congress,year,cd,R_isoa,R_isop,R_LIC,R_SCC,R_mean,R_harm,R_dyn,pop_hull,A_hull,IP_d,obj_ip_dist,obj_polsby,obj_lic,obj_scc,obj_inertia_a,obj_inertia_p,obj_mean_radius,obj_harm_radius,obj_dyn_radius,obj_axis,obj_exchange,obj_hull_pop,obj_hull_area,obj_rohrbach
AR,107,1990,1,118149.89387779006,278189.13813271315,61684.22618458346,146658.91188636696,86428.52149968474,62193.83743170738,92642.25378452356,835022,53929036425.312706,109087.15954102158,0.9806347648330921,0.18037914904311864,0.27257220670792776,0.649007558594287,0.8187758529337529,0.9414072919100678,0.9113495701626,0.9498520975452418,0.9017979134205059,0.7276993902098992,0.8199691493829676,0.7072735808158348,0.8131934723962412,0.5481683119577551
AR,107,1990,2,70594.63953391132,146046.67807734033,40988.094736304876,93493.29420946386,53257.65458973308,39414.201493016444,58197.37404022499,702155,22789624467.76121,42553.60880806784,1.502044887218686,0.23364693256160118,0.33711029268921594,0.5701413312047957,0.7150211627432047,1.7162264274688672,0.8836869251031624,0.8955482650894189,0.8577354073629891,0.7385624043983738,0.7524939848050013,0.8176057992893307,0.6869990774381745,0.597186328874204
AR,107,1990,3,98379.08574067694,166332.38158398983,70328.2078793198,153937.6383907242,74865.82357422716,56852.77718310739,82746.98174815552,626194,37367685649.29992,95079.31030334097,0.9368376643992886,0.3498258940313766,0.5110384026904088,0.40842839266201697,0.7101978535826692,0.8128477989182674,0.8760480287166644,0.8652091473370295,0.8406894992966444,0.6280066714813834,0.7526493595347266,0.9490876629287409,0.8136904827297589,0.6548617499812235
AR,107,1990,4,123423.05262516183,216114.28635924545,84133.05562821524,156993.64666129023,87732.82954950689,64029.859751329386,94797.35868042715,674305,52053569406.18159,112981.26103626237,0.9890937304457778,0.32615618080863934,0.46466585179345427,0.6180568333737113,0.8474646401241815,0.9493451858505759,0.9378705269845443,0.9637929327386925,0.9206298432871357,0.43207109083851386,0.8135331259791353,0.8678520847391017,0.9193733798230042,0.7622799912292402
CA,107,1990,1,95081.68684876536,231348.66368576855,43650.76369372692,217523.93710216993,107089.42566428712,70775.57203358001,121307.1473972659,918124,44817450124.15108,151776.32041021035,0.5672055103722278,0.16891171264266566,0.21076084772179687,0.1910643430923925,0.307466280039405,0.23761962242561738,0.5919145689624257,0.6717125988303784,0.5542369677298429,0.027840888033052832,0.45119896695151757,0.6238863160096022,0.6337186447636228,0.5399333558123791
CA,107,1990,2,154949.29463122934,265396.7919474234,89712.35015658588,190245.1957396684,111045.01409433511,79583.71875490482,118695.66290768121,732500,91870905738.05766,118011.30760721452,1.188813051018677,0.34086928472300515,0.33521640220043064,0.6633638644640167,0.8520596216926674,1.230162576051722,0.9302491480292643,0.9734987071189084,0.9230808800405139,0.25434505337849983,0.8135766029150447,0.7825610921501707,0.8210149811121672,0.7050561243054064
CA,107,1990,3,79738.87568283487,179184.06176473977,38680.30943939357,123489.27947927758,68187.7503232872,50389.4317750137,74709.12815517678,1461784,27992848000.90798,64426.10851151946,1.1206133482106373,0.19803477607829467,0.23530960989383376,0.41694781504189354,0.569540449312555,0.8918738586436791,0.7796011776776353,0.7912261844791679,0.7547123238061325,0.11830798763053699,0.6084095134689491,0.39099141870481546,0.7135805473184028,0.6501322347134159
CA,107,1990,4,95852.89860283743,157638.21878202597,65724.09019569815,125234.62961664262,75600.59590218199,56873.78972991663,81871.33400832824,885003,33218634646.37605,60433.73365777158,1.436062717860225,0.3697323602213158,0.47015240810785025,0.585816540363136,0.6853044197495384,1.5270771129891625,0.8452569935371009,0.842680776663781,0.8278628340361261,0.4363643468614951,0.7004484435666732,0.6452260613805829,0.8689176033492156,0.7588039367654159
CA,107,1990,5,11274.970606004801,19199.58407111682,6571.628081949283,15489.948540594716,8368.828514687657,6102.818341389172,9109.640980342978,614068,527168751.9703274,9820.055629727554,1.03955878650056,0.3448634715491241,0.33971530776921044,0.5298230967454253,0.764569359583315,1.0282731890319277,0.8981719553074634,0.9237511240944378,0.8751835764316612,0.4950365827112342,0.7610370676346699,0.934194584313138,0.7575844466060478,0.6546069288552564
CA,107,1990,6,36584.88263762618,76259.46769377895,23631.724395845755,51220.92929059955,30686.741013250386,17607.386629071916,33344.08262195818,602774,4809020597.90214,31052.21708132991,1.0667352236860825,0.23015255122598596,0.4172414958794428,0.5101623744480943,0.6033247199661407,0.9774041484322792,0.7948032587717934,1.038907232752535,0.7758323686777212,0.08846799333971367,0.6494472650641773,0.9405415628411312,0.8743726564442059,0.7478438198143379
CA,107,1990,7,18405.595825093857,36130.75034910396,13274.767636240715,24738.957342822927,13222.88003544447,8065.622617110899,14559.578163790102,627837,1373619343.0034072,18592.41384214011,0.8963171093241035,0.25950504188370455,0.5201805311392941,0.5535246658821236,0.800831291853916,0.7419226206203958,0.9279670679789831,1.140990392114746,0.8938941412513235,0.36778950126375026,0.7704478021953335,0.9100387520964837,0.7747886263718918,0.7065722635414302
CA,107,1990,8,5421.58703316846,9960.91103867845,3221.99544094775,6693.366316663827,4073.5118104018666,2831.206249631871,4370.555173775932,704315,116066500.47462173,4750.156578239122,1.0333943713175064,0.2962475347627777,0.3531807099899155,0.6560903954519961,0.7424068901094074,0.971939130209219,0.8872912424645867,0.9574694591525087,0.8771519414624863,0.5612550779899724,0.7353050944868949,0.8065595649673797,0.7956019709670606,0.6131651065168314
CA,107,1990,9,7860.284291052534,12902.65961257333,5434.928099656993,10580.644520662845,5709.654928813668,4112.690614025362,6216.714532959848,563610,221701567.5391986,7172.001407076218,0.9923056656134384,0.3711231343197678,0.4780915835009308,0.5518896641672076,0.7793685481275265,0.8771088589404904,0.9177769221960921,0.9556133719671116,0.8940510771066539,0.19466263316023125,0.7761433720731181,0.9863753304590054,0.8755029558947451,0.6867948435125443
CA,107,1990,10,29486.823254381925,51158.06853589599,20592.353579742416,31598.708024921667,20620.12113622993,14521.736753653626,22233.50877618536,1047341,3542671604.140821,22598.760535031786,1.1813836323286504,0.3322214691339669,0.48770364348034984,0.8707977961080319,0.8795040057857457,1.3380141899788696,0.9533349508334696,1.0152650387001103,0.9377886724364325,0.8475929527020639,0.8009534223739373,0.5461249010589674,0.7710365214182532,0.7673666055510252
CA,107,1990,11,39317.87626556328,69948.41919355531,27690.906510813344,50793.05364623563,27803.7771693966,20419.398385248467,30045.54225322415,860736,6143273629.220548,30672.21815096127,1.1606264145457716,0.3159543180420273,0.49601435281439793,0.5991995202387476,0.8565080007934781,1.0118791459298946,0.9427466401660985,0.9627579501550739,0.9253265158244902,0.10892423401190704,0.7987975268762159,0.6641234943118447,0.7905514073173661,0.7373272410735902
CA,107,1990,12,9589.956981098638,24176.13371894042,4798.013169169405,16839.912830590685,8867.198716122974,5754.35275761316,9849.342511299337,702866,411573044.0844102,12576.93501096727,0.6903819454684842,0.1573474176673797,0.25031654353925653,0.32430499649056815,0.48033867312968165,0.41624260059327106,0.7210061326855116,0.8332785097690503,0.6884849018949939,0.10085073241625088,0.5778265894216181,0.8133371083535126,0.701998635107718,0.42326707008697245
CA,107,1990,13,14360.26603001894,26145.168453719747,9244.724684959561,24051.528765039475,10719.432884609756,7574.678294040794,12051.241033734781,721884,793528145.8656594,14231.38214398068,0.913614509298083,0.30167691778479555,0.41444126743716286,0.35648363569532815,0.7105356454501984,0.7026369889659578,0.8930986172248253,0.947912602527064,0.8425888637564101,0.04542260539638201,0.7410938677057864,0.7928323664189815,0.8164178813641207,0.7305353736842947
CA,107,1990,14,20094.233111784877,35673.63057599446,14130.952203781511,22094.339973667942,13391.507543777521,11445.127891326038,14202.544181802794,775477,1599205789.0355065,12893.930964264327,1.4110216543455987,0.31728405779165236,0.4945383580241428,0.8271433978282277,1.0045651297575735,1.7208143986910434,1.0003470754927233,0.8778509642960727,1.0004382534709189,0.12904482697087766,0.8391836934408085,0.7363957925251168,0.7932103855333378,0.9653615807109572
CA,107,1990,15,19361.862384603046,40820.28630551134,11281.496913357147,22476.504096872315,13566.536634461614,10896.703637737655,14548.320521012227,918967,1612385447.961047,12084.359423816508,1.4506781782275349,0.2249790948494156,0.33949954749322153,0.7420560846366482,0.8873414475026571,1.7370553447450792,0.9514519883883599,0.8884275019441983,0.9410642395993197,0.5013855987466219,0.8032890452699295,0.6228297642896862,0.7304243804106555,0.6951174215546573
CA,107,1990,16,28007.89585963222,51817.950612198176,16559.825006350427,37110.171126414076,12364.61108125958,9528.447477553096,14484.08537898697,848278,3113422074.1109657,13978.575030621594,1.8141164617138155,0.2921463740024207,0.3495831733482138,0.5696066512129263,1.8662044858613676,2.0667018320587345,1.510110625427455,1.4696988111448688,1.3673333573305486,0.28475211122171373,0.7814823905853802,0.6736706598544345,0.7915399485814473,0.5715738294763805
CA,107,1990,17,63426.085356443196,103238.14523302656,47442.266564017875,82251.98678511467,42593.00362305378,29116.15280792369,46637.731849028154,616946,13990304842.582115,34788.78503146489,1.6507307034321417,0.3774465224724914,0.5594934973867266,0.5946248038890234,0.9263019824026768,2.277312011474961,0.9927465383401349,1.0891906938196585,0.9616465741695871,0.2996364653341457,0.8247009699294634,0.9256515156918109,0.9033551199411137,0.9426930690356808
CA,107,1990,18,58874.57412234734,101680.76126148144,44136.513122381955,61761.383374681194,39868.24122940239,32627.70698582251,42269.82413391928,698020,13431123854.605886,34664.76636798855,1.5377547751063716,0.33525709627212424,0.5620053926009463,0.908702090363212,0.9701449885624899,1.9642967418190795,0.9844857679003571,0.9022174642540723,0.9848777811208228,0.6850359419107671,0.869002451069912,0.818541016016733,0.8107614224691628,0.8221868152353394
CA,107,1990,19,79787.58455428747,149194.18382566053,54569.72419677127,88913.2167024965,54278.88999182769,45555.684530022874,58158.18878654737,867075,24049348828.91302,34192.174935124574,2.112789228553987,0.2860005375650789,0.46777055680690466,0.8052634557134553,0.941086878512795,2.896296845516722,0.9799707223968707,0.8757149121719872,0.9700842352553093,0.40891487322479025,0.8065639059123988,0.660931291987429,0.8316051809269669,0.8643226926087023
CA,107,1990,20,75253.20323784696,162234.33679806517,47465.69111632757,110866.45742749551,54883.31030419032,33120.41244993092,61392.43410817973,1201966,23884096949.555393,76071.20037615146,0.8956788202550637,0.215161432103847,0.39784108960093,0.4607333405944505,0.7512341213253778,0.6721453075985051,0.9140994207620576,1.1360547419451583,0.866752574457725,0.1260747202520355,0.7858742635256954,0.47718071892216585,0.7448880877602818,0.7162342408950294
CA,107,1990,21,85850.66152868267,191686.7322298482,51157.54823893598,104904.73078113372,58220.274019600205,36634.26635754918,63850.06529226496,804595,32774982678.485764,73601.14449898995,1.0561039367315097,0.20058718533128342,0.35508485795870676,0.6697259776131653,0.9038945721493481,0.9345051543537733,0.9830557364465,1.1717262288097046,0.9507521199612097,0.46854905157635696,0.7892418495058158,0.709851540215885,0.7064715769948479,0.7646191041542074
CA,107,1990,22,70713.70943972147,134093.67108657202,47706.957904577044,94505.07218288699,48787.233305742135,36004.90351329675,53464.905347558735,584824,16484366884.472544,67838.9219557857,0.9437832493570872,0.278093397604399,0.45515174154340743,0.5598826416941451,0.836533340679248,0.7160551583948026,0.9662870748250805,0.9820010962341091,0.9352329933558066,0.07444638812911235,0.7517672082722063,0.9763792183631315,0.9529823127195076,0.8211647634382667
CA,107,1990,23,38456.25574523596,65528.880010165405,31052.667946577505,40334.467978186134,22226.97730508605,19531.218102250587,23753.3174607607,727700,5397768014.839698,24280.201227373807,1.4340434122620567,0.3444042516205831,0.6520243937558204,0.9090365154127591,1.2936247939293555,1.7574296647463687,1.1534408605479096,0.9844817548989594,1.1447950064836807,0.22243804936123932,0.8528822849438294,0.7787508588704136,0.8607353741716647,1.1530001529066107
CA,107,1990,24,15868.052983507945,31649.110217967944,9600.36641051178,25622.910941897506,11946.263757215196,8422.20660465838,13232.227662961528,711133,1085969571.193603,16282.376619339992,0.8823754758829003,0.2513762679832743,0.3660398205027433,0.3835220601936761,0.7237302627167933,0.6442060996326394,0.8855238929925742,0.9420365545729558,0.847960612125278,0.08637455871301425,0.7317081407111041,0.8047538224214036,0.7284160390789693,0.6208271592654385
CA,107,1990,25,41333.78988089842,60736.28567865595,25222.349160241592,45165.91395215375,30304.59584429063,20673.162217495912,32538.0266163838,885131,6207862333.906642,32615.630875676394,1.1474321842416042,0.46314181846536523,0.3723579340800783,0.8375077783612234,0.8069576989406217,1.1258742592602238,0.9092964005256798,0.9996968399424933,0.898253709774961,0.14325334929188696,0.7247540006261926,0.6475753306572699,0.8646060101484455,0.7639509134652724
CA,107,1990,26,7609.237469886353,13149.441725706663,4858.968492471652,10262.96141664751,5632.435387454728,3956.580423338042,6130.893384227557,653479,250798328.95841303,7144.177078797852,0.9643540536348497,0.3348633719635112,0.407761192068703,0.5497141083960335,0.7688689808036364,0.8769685395827364,0.9006450373533043,0.9615926704033328,0.8776116427758288,0.32834426145796214,0.7627195974445947,0.8746080593255483,0.7252830195801557,0.6595300444665292
CA,107,1990,27,15864.608934280352,34977.09129215016,8856.70879935355,14838.784533129314,10523.49973044486,9357.855113511909,10872.728616147524,988934,1191370144.6593168,10187.49485898577,1.4099689593684548,0.20572703224797742,0.311663532750749,1.1430417274109643,1.0643519101544012,1.8579056038310096,1.0050274364134757,0.8476626717255576,1.0317532014587454,0.28658790182150873,0.7920604863515992,0.5790366192283812,0.6636848473214753,0.7182807194727103
CA,107,1990,28,19623.145886057628,41513.16243618132,11655.635951590279,17752.59181855636,9148.97991800244,7286.812869422731,10566.105012174532,969293,1613040349.061485,12941.313929165372,1.372896643814497,0.22344242060458427,0.35280496115308807,1.2218382875019247,1.7241303555080363,1.7223879024868478,1.4298968163248582,1.3464834515238617,1.3132237005269556,0.2041721264874399,0.8058534907978985,0.5903158281345269,0.7499665730161396,0.9975180023634295
CA,107,1990,29,9877.801871220447,17728.89453654624,5728.186246885365,13910.014551763092,7618.825709578514,5520.924950178109,8400.658836395536,858500,388612757.85178065,9276.826262514933,0.9640697828981531,0.3104254423055043,0.3362897565114049,0.5042726951282243,0.6919257526232856,0.8428987116312119,0.8643328379596968,0.8945785317097801,0.8314420121546143,0.19888944646210424,0.7121417378050635,0.6616796738497379,0.7887755503551562,0.6871157582872649
CA,107,1990,30,5561.819420842087,12345.409062178493,3272.0231280792705,7574.521497006604,4377.6935655605785,3077.6550178984903,4801.777407495674,869544,156000226.224703,6279.318755408558,0.8019585793378002,0.20296576919401568,0.3460978975681408,0.5391670749744255,0.6706043921430658,0.6010802147883885,0.8469938698004593,0.9035807113689849,0.8190300995779799,0.3726156545528335,0.6855411711088425,0.6585106676602909,0.6229574916884094,0.5141313296866445
CA,107,1990,31,7939.6724736520555,16719.167849706828,3666.4255025890734,14832.586593814129,7914.697774112385,4774.2264087905305,8777.87027283415,772245,284813768.45193005,9430.92180918029,0.7622475310419227,0.22551522067879504,0.2132458339941241,0.28653085106718634,0.40906825854890067,0.4921733823732481,0.6687703224433373,0.831514029061667,0.6395852378787614,0.07120376105850779,0.533616744153974,0.7416791303278105,0.6953349630318703,0.5366692846051413
CA,107,1990,32,6236.668682920204,9519.671652019795,4459.744863833968,7641.638118748826,4381.744561593076,3318.412615522824,4717.514961821641,651032,140988358.37928125,6103.731282409997,0.9251344445157926,0.4292016748673989,0.5113457864261249,0.6660892306430605,0.8815245054693859,0.8255400053117018,0.9488866964976969,0.9397066316808228,0.9348122376709449,0.33228717881353403,0.8347943041624976,0.8846938399341353,0.8667063236602766,0.7626415924151358
CA,107,1990,33,6317.6079823319005,12318.024454163691,4176.229187053255,9568.664894086662,4722.510757734807,2975.0540364100875,5217.2259020424635,837535,174382285.4983152,6894.1288964070545,0.8296995565275256,0.2630408647525579,0.4369817514947346,0.435915846424433,0.7331832939378854,0.6292064986329458,0.8918431044311969,1.061763568831707,0.8562449717648415,0.1757175677178493,0.7313231418287114,0.6816347973517525,0.7190396756491294,0.6678449180071155
CA,107,1990,34,8686.98157592153,17830.988183243375,4599.72457744967,12471.115620966797,6608.481149504456,4512.551795920606,7214.9913142237665,744357,344875883.60765433,9951.916070038089,0.7903323863538076,0.23734876509277425,0.2803663286454514,0.4852071473108703,0.7245565038161188,0.5946644358845254,0.8763467610176391,0.9625353867156331,0.8513695045296914,0.6368647789693467,0.7259445723989799,0.770404523635836,0.6874242481630999,0.5624688792170329
CA,107,1990,35,5992.243915131256,12355.449136700312,3650.022471567548,8557.060785886613,4648.988666261197,3193.2005441313445,5087.500327379985,832466,175929995.42933682,6421.953194363898,0.8448311730195541,0.23521330905401264,0.371032634723346,0.49037659308872955,0.6938710733961193,0.6768319617554565,0.8592899582108222,0.9382818010200081,0.8328562229489296,0.3719732853738489,0.7352191664869651,0.6855499203571077,0.6411932583260707,0.52866658130889
CA,107,1990,36,13864.201677209132,43859.28404173916,5594.792457274228,37155.751647682126,9118.625861931045,5229.08241514762,11484.65291257137,749450,656367344.4287416,11798.227413360042,1.0639609471650031,0.09992327474743477,0.16284642426050994,0.13923154162030232,0.3236709514341642,0.39915940979659237,1.0136177597467608,1.325682077322713,0.853614915167473,0.08231837804691348,0.2202142853326035,0.7646353992928148,0.9200101978684472,0.5075009069454403
CA,107,1990,37,7784.547572883424,13515.163343760874,4822.141374998047,10502.628184560124,5798.120014773845,4325.461731832979,6325.242430807154,741003,248184266.23365295,8534.27273839937,0.825875232899368,0.33176010226068964,0.3837188405777577,0.5493773782470217,0.757040448633184,0.6385013366800405,0.8950657055560632,0.8998516292022084,0.8702443325247736,0.24003317166593896,0.7303217273865293,0.7720899915384958,0.7670830406117459,0.6738121767587472
CA,107,1990,38,8540.19044067428,17583.953531172105,3989.0376554520944,14544.63368566648,7042.464085048003,4363.912052123573,7998.289303704297,834972,330386739.21283895,9136.599863260983,0.8463120665939854,0.23588594016558526,0.2181730793140171,0.34477005249694725,0.49040831942085533,0.5491435280887794,0.8084471890841095,0.9785016676170686,0.7550147717748236,0.2264035158919481,0.5865289124285222,0.6776526638018999,0.6935254065485831,0.5325694777798856
CA,107,1990,39,9328.61302195739,17860.229511406356,5218.3331877082255,12752.066817578509,7364.772732391293,4983.491279125063,8037.942120159984,865677,377744250.7618985,9745.771669239048,0.8666593536524112,0.27280987362043496,0.31291721399818334,0.5351468778321299,0.6734695524547191,0.7031619450785042,0.8444354732929146,0.9359515748560904,0.8206485476359602,0.25012604150561685,0.6856857905178544,0.6629967066238331,0.7237459806295158,0.5680128199358988
CA,107,1990,40,157237.4866427528,234556.10319092308,110787.88082498728,229780.08141675286,117543.1760622683,95017.47349773726,130101.61789460853,1071744,87249376814.61378,74285.66178770679,1.9164552365657808,0.44938514356929565,0.496446352129392,0.46826039647771145,0.7303321197542852,2.0631053742575056,0.8917998867040794,0.8274135317147601,0.8545911638999472,0.32194955281122517,0.7321916839004562,0.5355187432819778,0.8902248753552603,0.8129633086483052
CA,107,1990,41,13813.55047530503,23856.8147853816,9928.775845515487,18167.0535158073,9526.650964610333,7678.306339340225,10265.181746115968,792082,775499937.3517097,12801.45541741351,0.9769977286623049,0.3352630720218799,0.5166313713053886,0.5781514868626515,0.9057314892954323,0.8842205810349576,0.9666601289805969,0.8995180619800582,0.9515326133457526,0.2714383614871505,0.831423124428849,0.7228153145760161,0.7729986644161633,0.6811786960814467
CA,107,1990,42,13215.975014947535,21862.80686198599,8687.751950361722,19338.658979588487,9685.183720322333,7011.520276574252,10525.054345780016,655960,722863904.9930055,13997.17421258577,0.8548824945859392,0.3654151772313704,0.4321319797909404,0.4670309990986087,0.7882935621920356,0.6473848934125199,0.9097039627113853,0.94244717933018,0.8878914299201004,0.11396991728391587,0.7546866083009091,0.8713869748155375,0.7590873447058452,0.7062516809934914
CA,107,1990,43,25041.970210542248,46885.04778025583,15783.325957174804,29109.122516650514,18454.05441563564,13771.168797872282,19968.81337992479,692041,2669959050.3522162,20275.55618654742,1.118261315488748,0.2852779882890446,0.3972464841479522,0.7400801588669192,0.7862274233635222,1.0394294168294131,0.9046601050923111,0.9092173140166346,0.886750084406499,0.48626811271537285,0.7137486734581742,0.8252256730453832,0.7378740911401479,0.6783937744463838
CA,107,1990,44,72868.69820956724,118202.08707468804,36428.10916698283,126808.38621222557,57680.25912403343,50212.55695699165,63048.89899262234,632525,17512892285.956238,52783.3966553981,1.2499460261315831,0.3800421201143767,0.2499143747094177,0.33020684417578017,0.6677609351959451,1.096309882959223,0.8422141799891846,0.7256023455644887,0.8172379131672123,0.03427112059792251,0.5710439768811909,0.9040638709932414,0.9525198131803967,0.9232089086403483
CA,107,1990,45,8798.434172506533,16961.230881796357,5109.264578327249,13600.107772994716,6956.346309813385,4874.3634055953125,7674.2024111680485,835453,339822265.1583678,9458.962800381187,0.8421887868238063,0.2690890629359475,0.33721431878756974,0.4185295036495907,0.6626279992489161,0.6590135198750056,0.8432045387671875,0.9025213592411632,0.8106943411016818,0.20767967034476975,0.6900475642043585,0.6834507746097027,0.7156634215872146,0.6073418844880663
CA,107,1990,46,7223.828587214495,12258.299143205957,3795.5986494050376,10115.708913422142,5858.736489752615,3702.828455529997,6444.069328385482,716598,226155092.1650732,6996.167141123666,0.9348777826968291,0.3472757305029307,0.2760741238575901,0.5099671679743595,0.627646385158811,0.8122373084598858,0.8220007391069767,0.9754473740777881,0.7926696501616294,0.23077657594057482,0.6646047952419601,0.7967688997178334,0.7249004445720113,0.6044854318541948
CA,107,1990,47,15944.907958694937,27030.19867301339,10059.348340324133,18536.432061125877,11208.686739497254,9085.825211942692,11918.847801519814,953710,999978572.3337551,13548.211554072212,1.0655838515211624,0.3479730082671553,0.3980115374687971,0.7399318909561,0.894325001672752,1.0452887650356095,0.9483661098023286,0.8774606371326873,0.9459599393114876,0.26362105154016485,0.8226448724092152,0.5993488586677291,0.7987359134456131,0.667036973889305
