county,cd,pop
1,5,80243
1,6,27970
3,10,27544
5,5,9590
7,8,23474
9,5,22209
11,10,14867
13,1,22329
13,3,19954
15,1,20388
17,7,28663
19,7,50869
21,11,174821
23,10,75744
25,8,98935
27,10,70709
29,3,5904
31,3,50826
33,5,20693
35,10,118412
37,4,29358
37,6,9401
39,11,20170
41,3,13506
43,11,7155
45,9,84714
47,7,49587
49,1,24580
49,3,57033
51,7,128247
51,8,146319
53,3,12898
55,3,22257
57,6,64365
57,12,62312
59,5,27859
61,7,39995
63,4,181835
65,1,56558
67,5,212682
67,12,53196
69,2,36414
71,9,175093
73,1,9305
75,11,7196
77,1,21032
77,2,17313
79,1,15384
81,6,213925
81,12,133495
83,1,55516
85,2,67822
87,11,46942
89,11,69285
91,1,22523
93,8,22856
95,3,5411
97,10,52902
97,12,40029
99,11,26846
101,2,81306
103,1,8085
103,3,1329
105,2,41374
107,1,32338
107,3,24936
109,10,50319
111,11,35681
113,11,23499
115,11,16953
117,1,25078
119,9,290302
119,12,221131
121,10,14433
123,8,23346
125,6,59013
127,2,76677
129,7,120284
131,1,20798
133,3,149838
135,4,93851
137,3,11372
139,3,31298
141,7,28855
143,3,10447
145,1,20398
145,4,9782
147,1,45934
147,3,61990
149,11,14416
151,6,106546
153,8,44518
155,7,82640
155,8,22539
157,5,86064
159,6,81390
159,12,29215
161,11,56918
163,2,21577
163,7,25720
165,8,33754
167,8,51765
169,5,37223
171,5,61704
173,11,11268
175,11,25520
177,3,3856
179,8,84211
181,1,38892
183,2,176971
183,4,246409
185,1,17265
187,1,10643
187,3,3354
189,10,36952
191,1,34860
191,3,69806
193,10,59393
195,1,42552
195,2,23509
197,10,30488
199,11,15419
