county,cd,pop
1,4,101407
3,12,252586
3,14,687485
3,18,283277
5,3,68941
7,12,170539
9,9,49762
11,6,173401
11,7,57225
11,15,59371
11,16,121445
13,9,127089
15,10,62622
17,1,54
17,8,625195
19,3,183862
21,9,31788
21,12,111891
23,5,5085
25,11,18203
25,17,47046
27,5,153990
29,6,299575
29,7,101806
29,16,97505
31,3,12672
31,5,27316
33,5,81642
35,5,39238
37,11,67295
39,3,83164
39,5,5601
41,4,120499
41,11,114907
43,4,48847
43,11,152416
43,15,66837
45,1,178525
45,7,380454
47,5,31946
49,3,166284
49,5,114282
51,9,136605
51,18,1
53,5,7716
55,9,149618
57,9,14845
59,9,16718
59,18,21963
61,5,33893
61,9,12020
63,9,88880
65,5,45200
67,10,24636
69,10,58252
69,17,156185
71,7,32705
71,16,486740
73,3,74159
73,12,16949
75,6,59369
75,15,74199
77,15,349497
79,11,220850
79,17,100068
81,10,116111
83,5,43450
85,3,116638
87,10,46682
89,10,57769
89,17,112073
91,2,62118
91,6,173271
91,7,133514
91,8,80440
91,13,350531
93,11,18267
95,15,155619
95,17,142116
97,10,29558
97,11,64970
99,10,25513
99,11,20456
101,1,527261
101,2,643602
101,13,355143
103,10,57369
105,5,17457
107,17,148289
109,10,39702
111,9,21502
111,12,56240
113,10,6428
115,10,43356
117,5,2041
117,10,39881
119,10,44947
121,3,4
121,5,54980
123,5,41815
125,9,47169
125,18,160651
127,10,52822
129,9,9654
129,12,97525
129,14,18273
129,18,239717
131,11,28276
133,4,434972
