county,cd,pop
1,6,74946
3,1,243904
3,2,44691
3,3,51069
3,5,86714
5,2,367324
5,3,199290
5,7,125520
9,5,50074
11,1,27035
13,6,123372
15,1,70914
17,5,99877
19,1,30236
21,6,150208
23,6,28138
25,2,182132
27,3,90153
27,6,97175
29,1,17842
31,4,160381
31,8,596061
33,4,436868
33,5,292400
35,1,32843
37,5,75974
39,1,23433
41,1,30549
43,6,121393
45,1,74339
47,1,35028
510,1,14292
510,3,248722
510,7,472927
