county,cd,pop
1,6,91085
1,13,39715
3,5,33603
5,5,10677
7,8,25275
9,5,24382
11,10,17167
13,1,16267
13,3,28689
15,1,19773
17,7,32278
19,7,73107
21,11,206330
23,10,89148
25,8,125527
25,12,5536
27,10,77415
29,3,6885
31,3,59363
33,13,23501
35,10,141685
37,2,33037
37,4,16292
39,11,24298
41,1,14526
43,11,8775
45,9,28
45,10,96259
47,7,54749
49,1,39019
49,3,52417
51,2,108054
51,7,72151
51,8,122758
53,3,18008
55,3,29792
57,6,74069
57,12,73177
59,5,34835
61,3,14405
61,7,34658
63,4,223314
65,1,55606
67,5,175408
67,12,130659
69,2,47260
71,9,163872
71,10,26493
73,1,10516
75,11,7993
77,1,11933
77,13,36563
79,1,18974
81,6,178010
81,12,131177
81,13,111861
83,1,57370
85,2,91025
87,11,54033
89,11,89173
91,1,22601
93,8,33646
95,3,5826
97,5,68536
97,10,54124
99,11,33121
101,2,121957
101,13,8
103,1,6756
103,3,3625
105,2,49040
107,1,30702
107,3,28946
109,10,63780
111,11,42151
113,11,29811
115,11,19635
117,1,25593
119,8,107392
119,9,368921
119,12,219141
121,10,15687
123,8,26822
125,6,74769
127,1,14764
127,2,45749
127,3,26907
129,7,159904
131,1,22086
133,3,150348
135,4,118227
137,3,12884
139,1,34897
141,7,41025
143,1,11368
145,13,35623
147,1,54699
147,3,79099
149,11,18324
151,6,130454
153,8,46564
155,7,123339
157,5,11112
157,13,80816
159,6,70713
159,12,59627
161,10,37430
161,11,25469
163,2,32896
163,7,27265
165,7,195
165,8,35803
167,8,58100
169,5,44711
171,5,71219
173,11,12968
175,11,29334
177,3,4149
179,8,37294
179,9,86382
181,1,28182
181,2,14772
183,2,75481
183,4,261225
183,13,291140
185,1,19972
187,1,13716
189,5,42661
191,1,53038
191,3,60291
193,5,65632
195,1,36795
195,3,37019
197,5,36348
199,11,17774
