county,cd,pop
1,19,78274
3,4,83863
3,14,567149
3,18,565360
3,20,120057
5,4,748
5,5,939
5,12,71791
7,4,186093
9,9,47919
11,6,336523
13,9,130542
15,10,60967
17,3,3309
17,8,537865
19,4,45873
19,21,106140
21,12,163029
23,5,5913
25,11,56846
27,5,109143
27,9,14643
29,7,95786
29,16,280610
31,5,40548
31,12,1151
33,9,78097
35,5,37182
37,11,63202
39,5,23551
39,21,62618
41,17,51470
41,19,143787
43,17,237813
45,1,76688
45,2,34826
45,7,436067
47,5,34878
49,21,274800
51,12,55924
51,20,89427
53,5,4802
55,9,121082
57,9,13837
59,20,39550
61,9,44164
63,12,89994
65,5,46083
67,9,20625
69,10,219039
71,16,283009
71,17,139813
73,4,96246
75,17,113744
77,15,291130
79,11,328149
81,5,17503
81,10,101207
83,5,47131
85,21,121003
87,9,46197
89,10,40916
89,11,54793
91,6,21247
91,7,34472
91,8,25528
91,13,569281
91,15,27583
93,11,17735
95,15,247105
97,6,50668
97,11,46103
99,9,12131
99,17,29041
101,1,490476
101,2,530022
101,3,563829
103,10,27966
105,5,16717
107,6,152585
109,9,36680
111,12,78218
113,10,6104
115,10,40380
117,5,41126
119,5,36176
121,5,59381
123,5,45050
125,20,204736
127,10,39944
129,4,154451
129,12,105147
129,20,110723
131,10,28076
133,19,339574
