county,cd,pop
1,6,74842
3,1,101384
3,2,107338
3,3,231646
3,5,48734
5,1,59126
5,2,359265
5,3,185427
5,6,30861
5,7,119595
9,5,74473
11,1,29762
13,6,150897
15,1,85704
17,5,120491
19,1,30674
21,6,195277
23,6,29761
25,1,105967
25,2,83283
25,6,29326
27,3,76176
27,7,171666
29,1,19142
31,4,251303
31,6,19000
31,8,603038
33,4,410916
33,5,331622
33,8,58977
35,1,40462
37,5,86176
39,1,24747
41,1,33794
43,6,131923
45,1,84644
47,1,46543
510,2,111715
510,3,168722
510,7,370717
